run_id,engine_id,case_id,benchmark_mode,thread_count,repeat_count,warmup_steps,physics_settings,build_settings,min_ms_per_step,mean_ms_per_step,median_ms_per_step,max_steps_per_second,mean_steps_per_second,body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,rapier3d,box_container_pile_10k,headless_api,8,10,30,solver_iterations=4; sleep=disabled; ccd=default/off,Rust 1.89 Cargo release; Rapier3D 0.34.0 parallel,15.550713667,15.849626067,15.772069500,64.305730363,63.110924429,10005,10005,0,0,113
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,box_container_pile_10k,headless_api,8,10,30,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",18.432670000,18.842084100,18.825688500,54.251500190,53.085006437,10005,10005,0,0,19
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,unity_physics,box_container_pile_10k,headless_api,16,10,30,PhysicsStep default solver; synchronize_collision_world=on,Unity 6000.5.2f1 Release IL2CPP player; Burst on; safety off,3.886261667,3.919280067,3.919770500,257.316692949,255.151729409,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,box3d,box_container_pile_10k,headless_api,16,10,30,substeps=4; sleep=disabled; continuous=disabled,clang-cl 22 Release static runner,4.827188667,4.911343467,4.926314334,207.159916269,203.623517810,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,16,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,6.288442333,6.704428333,6.643462666,159.021892385,149.709132129,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,joltphysics,box_container_pile_10k,headless_api,16,10,30,"solver=4 velocity,1 position; sleep=disabled",clang-cl 22 Distribution static runner,8.464142333,8.791267567,8.603033500,118.145461243,113.916502635,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,16,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,10.020957000,10.094385367,10.095756166,99.790868277,99.066076205,10005,10005,0,0,8
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,physx34,box_container_pile_10k,headless_api,16,10,30,"solver_iterations=4,1; sleep_threshold=0",clang-cl 22 Release runner; Vite PhysX 3.4 runtime DLLs,10.262484333,10.383697467,10.397611500,97.442292482,96.308276854,10005,10005,0,0,11
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,16,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,13.369590333,13.455239833,13.436564833,74.796607455,74.322041051,10005,10005,0,0,2
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,rapier3d,box_container_pile_10k,headless_api,16,10,30,solver_iterations=4; sleep=disabled; ccd=default/off,Rust 1.89 Cargo release; Rapier3D 0.34.0 parallel,15.295417667,15.642861700,15.589811667,65.379058081,63.941754170,10005,10005,0,0,113
